,user_id,login_time,login_place,省,市
0,用户3,2018-09-06 09:32:47,中国广东广州,广东,广州
8,用户3,2018-09-10 14:04:32,中国北京,北京,
10,用户3,2018-09-10 17:38:36,中国广东,广东,
321,用户3,2019-01-08 16:05:27,中国广东汕头,广东,汕头
371,用户3,2019-01-17 10:35:32,中国香港,香港,
404,用户3,2019-01-30 11:34:23,中国广西南宁,广西,南宁
408,用户3,2019-02-04 14:31:55,中国广西桂林,广西,桂林
428,用户3,2019-02-16 13:25:29,中国山东济南,山东,济南
535,用户3,2019-03-15 17:49:26,中国湖南,湖南,
538,用户3,2019-03-17 14:35:58,中国湖北武汉,湖北,武汉
572,用户3,2019-03-24 11:01:36,中国广东深圳,广东,深圳
928,用户3,2019-08-30 16:06:12,中国浙江,浙江,
931,用户3,2019-09-01 08:48:23,中国浙江杭州,浙江,杭州
975,用户3,2019-09-18 10:49:15,中国福建,福建,
1199,用户3,2019-12-18 23:34:42,中国广东东莞,广东,东莞
1292,用户3,2020-02-03 23:12:10,中国广西梧州,广西,梧州
1314,用户3,2020-02-09 12:11:05,中国江苏盐城,江苏,盐城
1328,用户3,2020-02-11 21:30:11,中国,,
1346,用户3,2020-02-14 15:28:42,中国江苏,江苏,
1661,用户4,2018-09-10 14:16:24,中国广东广州,广东,广州
1662,用户4,2018-09-11 17:07:55,中国广东,广东,
1817,用户4,2020-02-04 23:24:58,中国广西梧州,广西,梧州
1826,用户4,2020-02-20 17:50:40,中国广东东莞,广东,东莞
1888,用户5,2018-09-10 15:48:17,中国广东广州,广东,广州
1923,用户5,2018-12-14 14:04:15,中国广东,广东,
1931,用户5,2018-12-20 14:10:39,中国广东深圳,广东,深圳
1947,用户5,2019-02-04 15:11:29,中国广西桂林,广西,桂林
1987,用户5,2019-05-06 10:55:08,中国香港,香港,
2018,用户5,2019-06-06 22:34:40,中国广西,广西,
2113,用户5,2019-08-30 15:58:31,中国浙江,浙江,
2116,用户5,2019-08-30 18:13:41,中国浙江杭州,浙江,杭州
2136,用户5,2019-09-24 14:17:01,中国浙江宁波,浙江,宁波
2154,用户5,2019-11-22 17:35:58,中国湖北,湖北,
2156,用户5,2019-11-27 20:21:02,中国湖南,湖南,
2213,用户5,2020-02-09 12:23:00,中国江苏盐城,江苏,盐城
2341,用户5,2020-05-18 10:13:25,中国,,
2343,用户5,2020-05-18 18:41:00,中国广西南宁,广西,南宁
2371,用户6,2018-09-11 16:14:09,中国广东广州,广东,广州
2372,用户7,2018-09-11 16:15:29,中国广东广州,广东,广州
2374,用户7,2018-09-13 11:00:03,中国广东,广东,
2385,用户7,2019-03-13 10:15:19,中国香港,香港,
2394,用户8,2018-09-18 11:44:26,中国广东广州,广东,广州
2401,用户9,2018-09-18 16:47:21,中国广东广州,广东,广州
2418,用户10,2018-09-18 17:11:13,中国广东广州,广东,广州
2424,用户11,2018-09-18 17:30:12,中国广东广州,广东,广州
